level,entryId,term,reading,meaningEn,meaningViDraft
N2,n2_tanos_0364,観念,かんねん,"idea, notion, conception, sense",ý tưởng; [VI cần duyệt] notion; [VI cần duyệt] conception; [VI cần duyệt] sense
N2,n2_tanos_0365,乾杯,かんぱい,toast,[VI cần duyệt] toast
N2,n2_tanos_0366,看板,かんばん,"sign, signboard, doorplate, poster",[VI cần duyệt] sign; [VI cần duyệt] signboard; [VI cần duyệt] doorplate; [VI cần duyệt] poster
N2,n2_tanos_0367,看病,かんびょう,nursing,[VI cần duyệt] nursing
N2,n2_tanos_0368,冠,かんむり,"crown, diadem, first, best",[VI cần duyệt] crown; [VI cần duyệt] diadem; [VI cần duyệt] first; [VI cần duyệt] best
N2,n2_tanos_0369,漢和,かんわ,Chinese Character-Japanese,[VI cần duyệt] Chinese Character-Japanese
N2,n2_tanos_0370,気圧,きあつ,atmospheric pressure,[VI cần duyệt] atmospheric pressure
N2,n2_tanos_0371,器械,きかい,instrument,[VI cần duyệt] instrument
N2,n2_tanos_0372,着替え,きがえ,"changing clothes, change of clothes",[VI cần duyệt] changing clothes; [VI cần duyệt] change of clothes
N2,n2_tanos_0373,機関車,きかんしゃ,"locomotive, engine",[VI cần duyệt] locomotive; [VI cần duyệt] engine
N2,n2_tanos_0374,飢饉,ききん,famine,[VI cần duyệt] famine
N2,n2_tanos_0375,器具,きぐ,utensil,[VI cần duyệt] utensil
N2,n2_tanos_0376,期限,きげん,"term, period",[VI cần duyệt] term; thời kỳ
N2,n2_tanos_0377,記号,きごう,"symbol, code",[VI cần duyệt] symbol; [VI cần duyệt] code
N2,n2_tanos_0378,刻む,きざむ,"to mince, to carve, to engrave",[VI cần duyệt] to mince; [VI cần duyệt] to carve; [VI cần duyệt] to engrave
N2,n2_tanos_0379,儀式,ぎしき,"ceremony, rite, ritual, service",[VI cần duyệt] ceremony; [VI cần duyệt] rite; [VI cần duyệt] ritual; [VI cần duyệt] service
N2,n2_tanos_0380,基準,きじゅん,"standard, basis, criteria, norm",tiêu chuẩn; [VI cần duyệt] basis; [VI cần duyệt] criteria; [VI cần duyệt] norm
N2,n2_tanos_0381,規準,きじゅん,"standard, basis, criteria, norm",tiêu chuẩn; [VI cần duyệt] basis; [VI cần duyệt] criteria; [VI cần duyệt] norm
N2,n2_tanos_0382,起床,きしょう,"rising, getting out of bed",[VI cần duyệt] rising; [VI cần duyệt] getting out of bed
N2,n2_tanos_0383,着せる,きせる,to put on clothes,[VI cần duyệt] to put on clothes
N2,n2_tanos_0384,基礎,きそ,"foundation, basis",[VI cần duyệt] foundation; [VI cần duyệt] basis
N2,n2_tanos_0385,気体,きたい,"vapour, gas",[VI cần duyệt] vapour; [VI cần duyệt] gas
N2,n2_tanos_0386,基地,きち,base,[VI cần duyệt] base
N2,n2_tanos_0387,きっかけ,きっかけ,"chance, start, cue, excuse",[VI cần duyệt] chance; [VI cần duyệt] start; [VI cần duyệt] cue; [VI cần duyệt] excuse
N2,n2_tanos_0388,ぎっしり,ぎっしり,"tightly, fully",[VI cần duyệt] tightly; [VI cần duyệt] fully
N2,n2_tanos_0389,基盤,きばん,"foundation, basis",[VI cần duyệt] foundation; [VI cần duyệt] basis
N2,n2_tanos_0390,客席,きゃくせき,guest seating,[VI cần duyệt] guest seating
N2,n2_tanos_0391,客間,きゃくま,"parlor, guest room",[VI cần duyệt] parlor; [VI cần duyệt] guest room
N2,n2_tanos_0392,ギャング,ギャング,gang,[VI cần duyệt] gang
N2,n2_tanos_0393,キャンパス,キャンパス,campus,[VI cần duyệt] campus
N2,n2_tanos_0394,休業,きゅうぎょう,"closed , business suspended, shutdown, holiday",[VI cần duyệt] closed; [VI cần duyệt] business suspended; [VI cần duyệt] shutdown; [VI cần duyệt] holiday
N2,n2_tanos_0395,休講,きゅうこう,lecture cancelled,[VI cần duyệt] lecture cancelled
N2,n2_tanos_0396,休息,きゅうそく,"rest, relief, relaxation",[VI cần duyệt] rest; [VI cần duyệt] relief; [VI cần duyệt] relaxation
N2,n2_tanos_0397,給与,きゅうよ,"allowance, grant, supply",[VI cần duyệt] allowance; [VI cần duyệt] grant; [VI cần duyệt] supply
N2,n2_tanos_0398,休養,きゅうよう,"rest, break, recreation",[VI cần duyệt] rest; [VI cần duyệt] break; [VI cần duyệt] recreation
N2,n2_tanos_0399,清い,きよい,"clear, pure, noble",rõ ràng; [VI cần duyệt] pure; [VI cần duyệt] noble
N2,n2_tanos_0400,強化,きょうか,"strengthen, intensify, reinforce, solidify",[VI cần duyệt] strengthen; [VI cần duyệt] intensify; [VI cần duyệt] reinforce; [VI cần duyệt] solidify
N2,n2_tanos_0401,境界,きょうかい,boundary,[VI cần duyệt] boundary
N2,n2_tanos_0402,行事,ぎょうじ,"event, function",[VI cần duyệt] event; [VI cần duyệt] function
N2,n2_tanos_0403,恐縮,きょうしゅく,"shame, very kind of you, sorry to trouble",[VI cần duyệt] shame; [VI cần duyệt] very kind of you; [VI cần duyệt] sorry to trouble
N2,n2_tanos_0404,教養,きょうよう,"culture, education, refinement, cultivation",văn hóa; giáo dục; [VI cần duyệt] refinement; [VI cần duyệt] cultivation
N2,n2_tanos_0405,行列,ぎょうれつ,"line, procession, matrix",[VI cần duyệt] line; [VI cần duyệt] procession; [VI cần duyệt] matrix
N2,n2_tanos_0406,漁業,ぎょぎょう,fishing,[VI cần duyệt] fishing
N2,n2_tanos_0407,曲線,きょくせん,curve,[VI cần duyệt] curve
N2,n2_tanos_0408,規律,きりつ,"order, rules, law",[VI cần duyệt] order; [VI cần duyệt] rules; luật
N2,n2_tanos_0409,斬る,きる,"to behead, to murder",[VI cần duyệt] to behead; [VI cần duyệt] to murder
N2,n2_tanos_0410,気を付ける,きをつける,"to be careful, to pay attention, to take care",[VI cần duyệt] to be careful; [VI cần duyệt] to pay attention; [VI cần duyệt] to take care
N2,n2_tanos_0411,金魚,きんぎょ,goldfish,[VI cần duyệt] goldfish
N2,n2_tanos_0412,区域,くいき,"limits, boundary, domain, zone, sphere, territory",[VI cần duyệt] limits; [VI cần duyệt] boundary; [VI cần duyệt] domain; [VI cần duyệt] zone; [VI cần duyệt] sphere; [VI cần duyệt] territory
N2,n2_tanos_0413,偶数,ぐうすう,even number,[VI cần duyệt] even number
N2,n2_tanos_0414,空想,くうそう,"daydream, fantasy, fancy, vision",[VI cần duyệt] daydream; [VI cần duyệt] fantasy; [VI cần duyệt] fancy; [VI cần duyệt] vision
N2,n2_tanos_0415,空中,くうちゅう,"sky, air",[VI cần duyệt] sky; không khí
N2,n2_tanos_0416,クーラー,クーラー,"cooler, air conditioner",[VI cần duyệt] cooler; [VI cần duyệt] air conditioner
N2,n2_tanos_0417,釘,くぎ,nail,[VI cần duyệt] nail
N2,n2_tanos_0418,区切る,くぎる,"to punctuate, to cut off, to mark off, to stop, to put an end to",[VI cần duyệt] to punctuate; [VI cần duyệt] to cut off; [VI cần duyệt] to mark off; dừng lại; [VI cần duyệt] to put an end to
N2,n2_tanos_0419,櫛,くし,comb,[VI cần duyệt] comb
N2,n2_tanos_0420,くしゃみ,くしゃみ,sneeze,[VI cần duyệt] sneeze
N2,n2_tanos_0421,苦情,くじょう,"complaint, troubles, objection",[VI cần duyệt] complaint; [VI cần duyệt] troubles; [VI cần duyệt] objection
N2,n2_tanos_0422,苦心,くしん,"pain, trouble",[VI cần duyệt] pain; rắc rối
N2,n2_tanos_0423,屑,くず,"waste, scrap",[VI cần duyệt] waste; [VI cần duyệt] scrap
N2,n2_tanos_0424,崩す,くずす,"to destroy, to pull down, to make change",[VI cần duyệt] to destroy; [VI cần duyệt] to pull down; [VI cần duyệt] to make change
N2,n2_tanos_0425,薬指,くすりゆび,ring finger,[VI cần duyệt] ring finger
N2,n2_tanos_0426,崩れる,くずれる,"to collapse, to crumble",[VI cần duyệt] to collapse; [VI cần duyệt] to crumble
N2,n2_tanos_0427,砕く,くだく,"to break, to smash",[VI cần duyệt] to break; [VI cần duyệt] to smash
N2,n2_tanos_0428,砕ける,くだける,"to break, to be broken",[VI cần duyệt] to break; [VI cần duyệt] to be broken
N2,n2_tanos_0429,くたびれる,くたびれる,"to get tired, to wear out",[VI cần duyệt] to get tired; [VI cần duyệt] to wear out
N2,n2_tanos_0430,くだらない,くだらない,"good-for-nothing, stupid, trivial, worthless",[VI cần duyệt] good-for-nothing; [VI cần duyệt] stupid; [VI cần duyệt] trivial; [VI cần duyệt] worthless
N2,n2_tanos_0431,下る,くだる,"to get down, to descend",[VI cần duyệt] to get down; [VI cần duyệt] to descend
N2,n2_tanos_0432,唇,くちびる,lips,[VI cần duyệt] lips
N2,n2_tanos_0433,口紅,くちべに,lipstick,[VI cần duyệt] lipstick
N2,n2_tanos_0434,くっつく,くっつく,"to adhere to, to keep close to",[VI cần duyệt] to adhere to; [VI cần duyệt] to keep close to
N2,n2_tanos_0435,くっつける,くっつける,to attach,[VI cần duyệt] to attach
N2,n2_tanos_0436,くどい,くどい,"verbose, importunate, heavy",[VI cần duyệt] verbose; [VI cần duyệt] importunate; nặng
N2,n2_tanos_0437,句読点,くとうてん,punctuation marks,[VI cần duyệt] punctuation marks
N2,n2_tanos_0438,配る,くばる,"to distribute, to deliver",[VI cần duyệt] to distribute; [VI cần duyệt] to deliver
N2,n2_tanos_0439,工夫,くふう,"labourer, worker",[VI cần duyệt] labourer; người lao động
N2,n2_tanos_0440,区分,くぶん,"division, section, classification",[VI cần duyệt] division; [VI cần duyệt] section; [VI cần duyệt] classification
N2,n2_tanos_0441,組合せ,くみあわせ,combination,[VI cần duyệt] combination
N2,n2_tanos_0442,組み立てる,くみたてる,"to assemble, to set up, to construct",[VI cần duyệt] to assemble; [VI cần duyệt] to set up; [VI cần duyệt] to construct
N2,n2_tanos_0443,汲む,くむ,"to draw , to dip, to scoop, to pump",vẽ; [VI cần duyệt] to dip; [VI cần duyệt] to scoop; [VI cần duyệt] to pump
N2,n2_tanos_0444,酌む,くむ,to serve sake,[VI cần duyệt] to serve sake
N2,n2_tanos_0445,悔しい,くやしい,"regrettable, mortifying, vexing",[VI cần duyệt] regrettable; [VI cần duyệt] mortifying; [VI cần duyệt] vexing
N2,n2_tanos_0446,悔やむ,くやむ,to mourn,[VI cần duyệt] to mourn
N2,n2_tanos_0447,クリーニング,クリーニング,"cleaning, dry cleaning, laundry service",[VI cần duyệt] cleaning; [VI cần duyệt] dry cleaning; [VI cần duyệt] laundry service
N2,n2_tanos_0448,くるむ,くるむ,"to be engulfed in, to be enveloped by, to wrap up",[VI cần duyệt] to be engulfed in; [VI cần duyệt] to be enveloped by; [VI cần duyệt] to wrap up
N2,n2_tanos_0449,くれぐれも,くれぐれも,"repeatedly, sincerely, earnestly",[VI cần duyệt] repeatedly; [VI cần duyệt] sincerely; [VI cần duyệt] earnestly
N2,n2_tanos_0451,郡,ぐん,"country, district",đất nước; [VI cần duyệt] district
N2,n2_tanos_0453,敬語,けいご,"honorific, term of respect",[VI cần duyệt] honorific; [VI cần duyệt] term of respect
N2,n2_tanos_0454,蛍光灯,けいこうとう,"fluorescent lamp, person who is slow to react",[VI cần duyệt] fluorescent lamp; [VI cần duyệt] person who is slow to react
N2,n2_tanos_0455,形式,けいしき,"form, formality, format, math expression",hình thức; [VI cần duyệt] formality; [VI cần duyệt] format; [VI cần duyệt] math expression
N2,n2_tanos_0456,継続,けいぞく,continuation,[VI cần duyệt] continuation
N2,n2_tanos_0457,毛糸,けいと,knitting wool,[VI cần duyệt] knitting wool
N2,n2_tanos_0458,経度,けいど,longitude,[VI cần duyệt] longitude
N2,n2_tanos_0459,系統,けいとう,"system, family line, geological formation",hệ thống; [VI cần duyệt] family line; [VI cần duyệt] geological formation
N2,n2_tanos_0460,芸能,げいのう,"public entertainment, accomplishments, attainments",[VI cần duyệt] public entertainment; [VI cần duyệt] accomplishments; [VI cần duyệt] attainments
N2,n2_tanos_0461,競馬,けいば,horse racing,[VI cần duyệt] horse racing
N2,n2_tanos_0462,警備,けいび,"defense, guard, policing, security",[VI cần duyệt] defense; [VI cần duyệt] guard; [VI cần duyệt] policing; [VI cần duyệt] security
N2,n2_tanos_0463,形容詞,けいようし,true adjective,[VI cần duyệt] true adjective
N2,n2_tanos_0464,形容動詞,けいようどうし,"adjectival noun, quasi-adjective",[VI cần duyệt] adjectival noun; [VI cần duyệt] quasi-adjective
N2,n2_tanos_0465,外科,げか,surgical department,[VI cần duyệt] surgical department
N2,n2_tanos_0466,毛皮,けがわ,"fur, skin, pelt",[VI cần duyệt] fur; [VI cần duyệt] skin; [VI cần duyệt] pelt
N2,n2_tanos_0467,激増,げきぞう,sudden increase,[VI cần duyệt] sudden increase
N2,n2_tanos_0468,下車,げしゃ,"alighting, getting off",[VI cần duyệt] alighting; [VI cần duyệt] getting off
N2,n2_tanos_0469,下旬,げじゅん,month,[VI cần duyệt] month
N2,n2_tanos_0470,下水,げすい,"drainage, sewage, ditch, gutter, sewerage",[VI cần duyệt] drainage; [VI cần duyệt] sewage; [VI cần duyệt] ditch; [VI cần duyệt] gutter; [VI cần duyệt] sewerage
N2,n2_tanos_0471,削る,けずる,"to cut down little by little, to take a percentage",[VI cần duyệt] to cut down little by little; [VI cần duyệt] to take a percentage
N2,n2_tanos_0472,桁,けた,"column, beam, digit",[VI cần duyệt] column; [VI cần duyệt] beam; [VI cần duyệt] digit
N2,n2_tanos_0473,下駄,げた,"geta , wooden clogs",[VI cần duyệt] geta; [VI cần duyệt] wooden clogs
N2,n2_tanos_0474,血圧,けつあつ,blood pressure,[VI cần duyệt] blood pressure
N2,n2_tanos_0475,血液,けつえき,blood,[VI cần duyệt] blood
N2,n2_tanos_0476,月給,げっきゅう,monthly salary,[VI cần duyệt] monthly salary
N2,n2_tanos_0477,傑作,けっさく,"masterpiece, best work, boner, blunder",[VI cần duyệt] masterpiece; [VI cần duyệt] best work; [VI cần duyệt] boner; [VI cần duyệt] blunder
N2,n2_tanos_0478,月末,げつまつ,end of the month,[VI cần duyệt] end of the month
N2,n2_tanos_0479,気配,けはい,"indication, market trend, worry",[VI cần duyệt] indication; [VI cần duyệt] market trend; [VI cần duyệt] worry
N2,n2_tanos_0480,下品,げひん,"vulgarity, meanness, indecency, coarseness",[VI cần duyệt] vulgarity; [VI cần duyệt] meanness; [VI cần duyệt] indecency; [VI cần duyệt] coarseness
N2,n2_tanos_0481,煙い,けむい,smoky,[VI cần duyệt] smoky
N2,n2_tanos_0482,蹴る,ける,to kick,[VI cần duyệt] to kick
N2,n2_tanos_0483,けれど/けれども,,"but, however",[VI cần duyệt] but; [VI cần duyệt] however
N2,n2_tanos_0484,険しい,けわしい,"inaccessible place, sharp eyes",[VI cần duyệt] inaccessible place; [VI cần duyệt] sharp eyes
N2,n2_tanos_0485,見学,けんがく,"inspection, study by observation, field trip",kiểm tra; [VI cần duyệt] study by observation; [VI cần duyệt] field trip
N2,n2_tanos_0486,謙虚,けんきょ,"modesty, humility",[VI cần duyệt] modesty; [VI cần duyệt] humility
N2,n2_tanos_0487,原稿,げんこう,"manuscript, copy",[VI cần duyệt] manuscript; [VI cần duyệt] copy
N2,n2_tanos_0488,原産,げんさん,"place of origin, habitat",[VI cần duyệt] place of origin; [VI cần duyệt] habitat
N2,n2_tanos_0489,原始,げんし,"origin, primeval",[VI cần duyệt] origin; [VI cần duyệt] primeval
N2,n2_tanos_0491,厳重,げんじゅう,"strict, rigour, severe, firm",[VI cần duyệt] strict; [VI cần duyệt] rigour; [VI cần duyệt] severe; [VI cần duyệt] firm
N2,n2_tanos_0492,謙遜,けんそん,"humble, humility, modesty",[VI cần duyệt] humble; [VI cần duyệt] humility; [VI cần duyệt] modesty
N2,n2_tanos_0493,県庁,けんちょう,prefectural office,[VI cần duyệt] prefectural office
N2,n2_tanos_0494,限度,げんど,"limit, bounds",[VI cần duyệt] limit; [VI cần duyệt] bounds
N2,n2_tanos_0495,現に,げんに,"actually, really",[VI cần duyệt] actually; [VI cần duyệt] really
N2,n2_tanos_0496,顕微鏡,けんびきょう,microscope,[VI cần duyệt] microscope
N2,n2_tanos_0497,原理,げんり,"principle, theory, fundamental truth",[VI cần duyệt] principle; [VI cần duyệt] theory; [VI cần duyệt] fundamental truth
N2,n2_tanos_0498,原料,げんりょう,raw materials,[VI cần duyệt] raw materials
N2,n2_tanos_0499,碁,ご,Go,[VI cần duyệt] Go
N2,n2_tanos_0500,恋しい,こいしい,"dear, beloved, darling, yearned for",[VI cần duyệt] dear; [VI cần duyệt] beloved; [VI cần duyệt] darling; [VI cần duyệt] yearned for
N2,n2_tanos_0502,工員,こういん,factory worker,[VI cần duyệt] factory worker
N2,n2_tanos_0503,強引,ごういん,"overbearing, coercive, pushy, forcible, high-handed",[VI cần duyệt] overbearing; [VI cần duyệt] coercive; [VI cần duyệt] pushy; [VI cần duyệt] forcible; [VI cần duyệt] high-handed
N2,n2_tanos_0504,公害,こうがい,"public nuisance, pollution",[VI cần duyệt] public nuisance; [VI cần duyệt] pollution
N2,n2_tanos_0505,高級,こうきゅう,"high class, high grade",[VI cần duyệt] high class; [VI cần duyệt] high grade
N2,n2_tanos_0506,公共,こうきょう,"public, community, public service, society, communal",[VI cần duyệt] public; [VI cần duyệt] community; [VI cần duyệt] public service; xã hội; [VI cần duyệt] communal
N2,n2_tanos_0507,工芸,こうげい,industrial arts,[VI cần duyệt] industrial arts
N2,n2_tanos_0508,孝行,こうこう,filial piety,[VI cần duyệt] filial piety
N2,n2_tanos_0509,交差,こうさ,cross,[VI cần duyệt] cross
N2,n2_tanos_0510,講師,こうし,lecturer,[VI cần duyệt] lecturer
N2,n2_tanos_0511,工事,こうじ,construction work,[VI cần duyệt] construction work
N2,n2_tanos_0512,公式,こうしき,"formula, formality, official",[VI cần duyệt] formula; [VI cần duyệt] formality; [VI cần duyệt] official
N2,n2_tanos_0513,口実,こうじつ,excuse,[VI cần duyệt] excuse
N2,n2_tanos_0514,こうして,こうして,thus,[VI cần duyệt] thus
N2,n2_tanos_0515,校舎,こうしゃ,school building,[VI cần duyệt] school building
N2,n2_tanos_0516,公衆,こうしゅう,the public,[VI cần duyệt] the public
N2,n2_tanos_0517,香水,こうすい,perfume,[VI cần duyệt] perfume
N2,n2_tanos_0518,公正,こうせい,"justice, fairness, impartiality",[VI cần duyệt] justice; [VI cần duyệt] fairness; [VI cần duyệt] impartiality
N2,n2_tanos_0519,功績,こうせき,"achievements, merit, meritorious service, meritorious deed",[VI cần duyệt] achievements; [VI cần duyệt] merit; [VI cần duyệt] meritorious service; [VI cần duyệt] meritorious deed
N2,n2_tanos_0520,光線,こうせん,"beam, light ray",[VI cần duyệt] beam; [VI cần duyệt] light ray
N2,n2_tanos_0521,高層,こうそう,upper,[VI cần duyệt] upper
N2,n2_tanos_0522,構造,こうぞう,"structure, construction",[VI cần duyệt] structure; [VI cần duyệt] construction
N2,n2_tanos_0523,交替,こうたい,"alternation, change, relief, relay, shift",[VI cần duyệt] alternation; thay đổi; [VI cần duyệt] relief; [VI cần duyệt] relay; [VI cần duyệt] shift
N2,n2_tanos_0524,耕地,こうち,arable land,[VI cần duyệt] arable land
N2,n2_tanos_0525,交通機関,こうつうきかん,transportation facilities,[VI cần duyệt] transportation facilities
N2,n2_tanos_0526,校庭,こうてい,campus,[VI cần duyệt] campus
N2,n2_tanos_0527,肯定,こうてい,"positive, affirmation",[VI cần duyệt] positive; [VI cần duyệt] affirmation
N2,n2_tanos_0528,高度,こうど,"altitude, height, advanced",[VI cần duyệt] altitude; chiều cao; [VI cần duyệt] advanced
N2,n2_tanos_0529,高等,こうとう,"high class, high grade",[VI cần duyệt] high class; [VI cần duyệt] high grade
N2,n2_tanos_0530,合同,ごうどう,"combination, incorporation, union, amalgamation",[VI cần duyệt] combination; [VI cần duyệt] incorporation; [VI cần duyệt] union; [VI cần duyệt] amalgamation
N2,n2_tanos_0531,後輩,こうはい,junior,[VI cần duyệt] junior
N2,n2_tanos_0532,公表,こうひょう,"official announcement, proclamation",[VI cần duyệt] official announcement; [VI cần duyệt] proclamation
N2,n2_tanos_0533,鉱物,こうぶつ,mineral,[VI cần duyệt] mineral
N2,n2_tanos_0534,公務,こうむ,"official business, public business",[VI cần duyệt] official business; [VI cần duyệt] public business
N2,n2_tanos_0535,項目,こうもく,item,[VI cần duyệt] item
N2,n2_tanos_0536,紅葉,こうよう,maple,[VI cần duyệt] maple
N2,n2_tanos_0537,合理,ごうり,rational,[VI cần duyệt] rational
N2,n2_tanos_0538,交流,こうりゅう,"alternating current, intercourse, exchange, intermingling",[VI cần duyệt] alternating current; [VI cần duyệt] intercourse; [VI cần duyệt] exchange; [VI cần duyệt] intermingling
N2,n2_tanos_0539,合流,ごうりゅう,"confluence, union, linking up, merge",[VI cần duyệt] confluence; [VI cần duyệt] union; [VI cần duyệt] linking up; [VI cần duyệt] merge
N2,n2_tanos_0540,効力,こうりょく,"effect, efficacy, validity, potency",ảnh hưởng; [VI cần duyệt] efficacy; [VI cần duyệt] validity; [VI cần duyệt] potency
N2,n2_tanos_0541,超える,こえる,"to exceed, to cross over, to cross",[VI cần duyệt] to exceed; [VI cần duyệt] to cross over; [VI cần duyệt] to cross
N2,n2_tanos_0542,コース,コース,course,[VI cần duyệt] course
N2,n2_tanos_0543,コーラス,コーラス,chorus,[VI cần duyệt] chorus
N2,n2_tanos_0544,焦がす,こがす,"to burn, to scorch, to singe, to char",[VI cần duyệt] to burn; [VI cần duyệt] to scorch; [VI cần duyệt] to singe; [VI cần duyệt] to char
N2,n2_tanos_0545,国王,こくおう,king,[VI cần duyệt] king
N2,n2_tanos_0546,国籍,こくせき,nationality,[VI cần duyệt] nationality
N2,n2_tanos_0547,国立,こくりつ,national,[VI cần duyệt] national
N2,n2_tanos_0548,ごくろうさま,ごくろうさま,Thank you very much for your,[VI cần duyệt] Thank you very much for your
N2,n2_tanos_0549,焦げる,こげる,"to burn, to be burned",[VI cần duyệt] to burn; [VI cần duyệt] to be burned
N2,n2_tanos_0550,凍える,こごえる,"to freeze, to be chilled, to be frozen",[VI cần duyệt] to freeze; [VI cần duyệt] to be chilled; [VI cần duyệt] to be frozen
N2,n2_tanos_0551,心当たり,こころあたり,"having some knowledge of, happening to know",[VI cần duyệt] having some knowledge of; [VI cần duyệt] happening to know
N2,n2_tanos_0552,心得る,こころえる,"to be informed, to have thorough knowledge",[VI cần duyệt] to be informed; [VI cần duyệt] to have thorough knowledge
N2,n2_tanos_0553,腰掛け,こしかけ,"seat, bench",[VI cần duyệt] seat; [VI cần duyệt] bench
N2,n2_tanos_0555,五十音,ごじゅうおん,the Japanese syllabary,[VI cần duyệt] the Japanese syllabary
N2,n2_tanos_0556,胡椒,こしょう,pepper,[VI cần duyệt] pepper
N2,n2_tanos_0557,こしらえる,こしらえる,"to make, to manufacture",làm; tạo ra; [VI cần duyệt] to manufacture
N2,n2_tanos_0558,超す,こす,"to cross, to pass, to tide over",[VI cần duyệt] to cross; [VI cần duyệt] to pass; [VI cần duyệt] to tide over
N2,n2_tanos_0559,擦る,こする,"to rub, to chafe, to file, to frost , to strike",[VI cần duyệt] to rub; [VI cần duyệt] to chafe; [VI cần duyệt] to file; [VI cần duyệt] to frost; [VI cần duyệt] to strike
N2,n2_tanos_0561,個体,こたい,an individual,[VI cần duyệt] an individual
N2,n2_tanos_0562,御馳走,ごちそう,"feast, treating",[VI cần duyệt] feast; [VI cần duyệt] treating
N2,n2_tanos_0563,ごちそうさま,ごちそうさま,feast,[VI cần duyệt] feast
N2,n2_tanos_0564,こちらこそ,こちらこそ,it is I who should say so,[VI cần duyệt] it is I who should say so
N2,n2_tanos_0565,小遣い,こづかい,"personal expenses, pocket money, spending money, incidental expenses, allowance",[VI cần duyệt] personal expenses; [VI cần duyệt] pocket money; [VI cần duyệt] spending money; [VI cần duyệt] incidental expenses; [VI cần duyệt] allowance
N2,n2_tanos_0566,コック,コック,"cook , tap, spigot, faucet, cock",[VI cần duyệt] cook; [VI cần duyệt] tap; [VI cần duyệt] spigot; [VI cần duyệt] faucet; [VI cần duyệt] cock
N2,n2_tanos_0567,こっそり,こっそり,"stealthily, secretly",[VI cần duyệt] stealthily; [VI cần duyệt] secretly
N2,n2_tanos_0568,古典,こてん,"old book, classics, classic",[VI cần duyệt] old book; [VI cần duyệt] classics; [VI cần duyệt] classic
N2,n2_tanos_0569,琴,こと,Koto,[VI cần duyệt] Koto
N2,n2_tanos_0570,言付ける,ことづける,"to send word, to send a message",[VI cần duyệt] to send word; [VI cần duyệt] to send a message
N2,n2_tanos_0571,言葉遣い,ことばづかい,"speech, expression, wording",[VI cần duyệt] speech; [VI cần duyệt] expression; [VI cần duyệt] wording
N2,n2_tanos_0572,こないだ,こないだ,"the other day, lately, recently",[VI cần duyệt] the other day; [VI cần duyệt] lately; [VI cần duyệt] recently
N2,n2_tanos_0573,御無沙汰,ごぶさた,not writing or contacting for a while,[VI cần duyệt] not writing; [VI cần duyệt] contacting for a while
N2,n2_tanos_0574,こぼす,こぼす,to spill,[VI cần duyệt] to spill
N2,n2_tanos_0575,こぼれる,こぼれる,"to overflow, to spill",[VI cần duyệt] to overflow; [VI cần duyệt] to spill
N2,n2_tanos_0576,塵芥,ごみ,"trash, rubbish",[VI cần duyệt] trash; [VI cần duyệt] rubbish
N2,n2_tanos_0577,ゴム,ゴム,"gum, rubber, eraser",[VI cần duyệt] gum; [VI cần duyệt] rubber; [VI cần duyệt] eraser
N2,n2_tanos_0578,御免,ごめん,"your pardon, declining , dismissal, permission",[VI cần duyệt] your pardon; [VI cần duyệt] declining; [VI cần duyệt] dismissal; sự cho phép
N2,n2_tanos_0579,ごめんください,ごめんください,May I come in?,[VI cần duyệt] May I come in?
N2,n2_tanos_0580,小指,こゆび,little finger,[VI cần duyệt] little finger
N2,n2_tanos_0581,こらえる,こらえる,"to bear, to stand, to endure, to put up with",[VI cần duyệt] to bear; đứng; [VI cần duyệt] to endure; [VI cần duyệt] to put up with
N2,n2_tanos_0582,娯楽,ごらく,"pleasure, amusement",[VI cần duyệt] pleasure; [VI cần duyệt] amusement
N2,n2_tanos_0583,御覧,ごらん,"look, inspection, try",[VI cần duyệt] look; kiểm tra; [VI cần duyệt] try
N2,n2_tanos_0584,コレクション,コレクション,"collection, correction",[VI cần duyệt] collection; [VI cần duyệt] correction
N2,n2_tanos_0585,転がす,ころがす,to roll,[VI cần duyệt] to roll
N2,n2_tanos_0586,転がる,ころがる,"to roll, to tumble",[VI cần duyệt] to roll; [VI cần duyệt] to tumble
N2,n2_tanos_0587,紺,こん,"navy blue, deep blue",[VI cần duyệt] navy blue; [VI cần duyệt] deep blue
N2,n2_tanos_0588,コンクール,コンクール,contest,[VI cần duyệt] contest
N2,n2_tanos_0589,コンクリート,コンクリート,concrete,[VI cần duyệt] concrete
N2,n2_tanos_0590,混合,こんごう,"mixing, mixture",[VI cần duyệt] mixing; [VI cần duyệt] mixture
N2,n2_tanos_0591,コンセント,コンセント,"consent, concentric",[VI cần duyệt] consent; [VI cần duyệt] concentric
N2,n2_tanos_0592,献立,こんだて,"menu, program, schedule",[VI cần duyệt] menu; [VI cần duyệt] program; lịch trình
N2,n2_tanos_0593,こんばんは,こんばんは,good evening,[VI cần duyệt] good evening
N2,n2_tanos_0594,サークル,サークル,"circle, sports club",[VI cần duyệt] circle; [VI cần duyệt] sports club
N2,n2_tanos_0595,在学,ざいがく,in school,[VI cần duyệt] in school
N2,n2_tanos_0596,再三,さいさん,"again and again, repeatedly",[VI cần duyệt] again; [VI cần duyệt] repeatedly
N2,n2_tanos_0597,祭日,さいじつ,"national holiday, festival day",[VI cần duyệt] national holiday; [VI cần duyệt] festival day
